CODE NAME,DESCRIPTION,EXAMPLE,
WorkChallenges_ComputerEnvironment,"When talking about if the coding environment impacts their work (e.g., having difficulty with visual search, getting distracted by popups, etc.).","""I second this. May want to get an eye exam and fill what may be a weak prescription for computer glasses. I get headaches if I don't use mine, and have 20/15 vision.""",
WorkChallenges_ConsistentPerformance,"When they have trouble working under prescribed hours (e.g., can work some days and not others) or working for the length of a day (e.g., because of burnout). This also applies when they have trouble working at a specific time of day.","""When I do nothing at you know.. “those” days, nobody cares. You can
be quite invisible in big companies.""",
WorkChallenges_TimeManagement,"When the person struggles with figuring out how to fit tasks in their daily schedule, and struggling with any kind of time management practice (estimating the time something will take, deadlines, procrastination, etc). This also relates to if someone takes on too many tasks, thinking they have the time to do them, but are actually overcommited.","""At work as a software engineer, the lack of structure made me procrastinate until the very last minute.""",
WorkChallenges_Abstraction,"When the person is having difficulty translating between abstractions: e.g., hyperfocused on details or only able to see the big picture. This is also about struggles with organization of tasks, and the structure of tasks.","""For me, it's probably entering a zone while solving something and not getting out of it. I think that limits
the perspective, and sometimes things become complex.""",
WorkChallenges_BoringTasks,When the task is subjectively boring or a slog for someone.,"""But right now I'm translating MATLAB code into python. While informative and in some ways engaging (figuring out how to optimize it as I write it), it can border on tedious.""",
WorkChallenges_BadTask,"If a specific software / job task is bad when you have ADHD, or ADHD is bad for the task. Includes dislikes.","""I do suck at the last step of self review of the code. I think I'll need to knowingly switch context during self review.""",
WorkChallenges_BadFitJob,"When a job is subjectively bad in some way, in terms of how it's structured.","""You are not too dumb to work in an office. They are the most unnatural environment. Find an environment that suits you, and where you will be happy .""",
WorkChallenges_Communication,"When the person struggles to communicate with coworkers, stakeholders, managers, or anyone involved with their work.","""I too struggle with talking with new people/decision makers.""",
WorkChallenges_ContextSwitching,Having trouble switching to a different task and then getting back to what they were doing before (having to take a meeting while being busy with something else and then coming back after the meeting confused),"""As well, be aware that a call in your day very likely will nuke your brain because it’s a hard switch to a different region of your brain.""",
WorkChallenges_Distractions,"Getting distracted at work (browsing social media, notifications, etc)","""Concentrating and stopping myself going on the reddit, youtube , news, Facebook loop is a struggle that leaves me drained and concentrating near impossible.""",
WorkChallenges_ExternalPressure,"Issues with other people putting pressure on them (watching them during an interview). This does not include an interview being timed alone, unless they talk about the pressure put on them.","""I'm not that good with on the fly technical questions, let alone coding under pressure!""",
WorkChallenges_Impulsivity,When someone says or does something without (from their perspective) thinking through what will happen fully.,"""Impulsively diving into tasks without slowing down to think of a process/approach""",*Rarer in our sample.
WorkChallenges_Inertia,"Issues with follow through, completing tasks, motivation, and starting things. Abstraction will take precendence if the person is talking about having difficulty knowing where to start.","""I often hold back from doing things that I want to do because of a reason that _might_ be true but I realize that it often isn’t (or at least it isn’t as bad as I think it will be).""",
WorkChallenges_Hyperfocus,When hyperfocus becomes cumbersome because someone has been too focused on one thing to the expense of their health or productivity on something else.,"""Hyperfocusing on tasks and neglecting important conversations and sometimes eating?? (Bought an Alexa machine to remind me to do things throughout the day)""",
WorkChallenges_HypotheticalOutcome,When someone thinks something bad might happen as a result of a work challenge.,"""I'm worried that even though I really want to WFM I will be far less productive at home.""",
WorkChallenges_JobInsecurity,"When someone's job is threatened by upper management. For example, they may be placed on a PIP or receive especially difficult feedback from their boss that suggests that they may lose their job, or they get fired due to what seems like ADHD symptoms (this would be an outcome).","""I worry about my job security as a result of these mandatory changes. I need to be in the office where I'm accountable for my work.""",
WorkChallenges_Memory,"Issues with memory, forgetting, mind going blank","""I also leave super detailed notes in JIRAs and pull requests, because it's easy to forget the details 6 months later when the code actually gets used. Most of my coworkers love it because they don't have to spend a ton of time grocking what the code is doing.""",
WorkChallenges_Other,"Any other thing that someone struggles with at work. Look out for impulsivity or other hyperactive symptoms (not being able to sit still, e.g.). We will also put negative hyperfocus tunnels here.",,
WorkChallenges_Outcome,"An outcome related to a work challenge (getting fired, being unproductive, etc). Must be a consequence to work, not to mental health.","""...the main problem is he'll get into hyperfocus in the late night work session and will often end up working really early into the morning and then not get enough sleep.""",
WorkChallenges_WaitingForThings,Waiting for a work process to complete (ex: compilation),"""I also hit this problem fairly often. I try to use compile time to think about what I need to do next - try
to anticipate bugs that might pop up in a minute, or read documentation. Things that will speed me up later.""",
WorkChallenges_Workaholic,"When someone overworks (maybe to compensate for other challenges at work, or because they're invested in the work), to the expense of their health, productivity, or quality of work. May be related to hyperfocus in some cases.","""My fiancé sometimes catches me sneaking some work in late at night. Work can be really addictive.""",
WorkStrengths,"These include the attributes of someone that they view make them better able to perform well in a workplace. This includes strengths of tasks, environments, or jobs for people with ADHD.",,
WorkStrengths_BreadthOfKnowledge,"When someone is skilled at multiple different kinds of tasks at work, or considers themselves a ""jack of all trades.""","""My many million mini interest of things makes me a jack of all trades and so I understand a lot of the  field and can understand the significance and context of the work we are doing. Important for motivating  team and helping them understand why and how their task fits into big picture""",
WorkStrengths_Creativity,When someone views themselves as especially creative.,"""\- Ability to think outside the box""",
WorkStrengths_CrisisManagement,When someone views themselves as especially good in emergencies or in challenging situations.,"""I actually get better as the situation gets worse. It’s the reason why I always get promoted to manager/director.""",
WorkStrengths_Communication,"When communication, or some type of communication (e.g., email, asynchronous) is viewed as a strength","""Also, there are plenty
of articles out there that explain the perks of asynchronous vs synchronous communication and I agree with many of them, but I'm not here to further discuss why asynchronous is better and more suitable for someone like me.""",
WorkStrengths_Environment,When the physical environment for work is set up in a way that is harmonious with a commenter's work style or highlights their strengths.,"""With a nice floor plan, a separat D kitchen and sitting area I could not see form my desk, desks having a few divider walls and storage space behind them.
Albeit I have the same problems, that worked surprisingly well. On the one side because the office was not too busy, most people stayed at their desks or just went to the designated area for chatting.""",
WorkStrengths_GoodFitJob,"When a job is subjectively good in some way, in terms of how it's structured.","""I feel like I can adapt my work to my ADHD instead of contorting myself to please arbitrary school standards.""",
WorkStengths_GoodTask,"If a specific software / job task is good when you have ADHD, or ADHD is good for the task. Includes preferences.","""Getting something done before standup is that urgency for me. My standup is in the morning, so I actually work earlier than I'd normally dream just so I have a deadline.""",
WorkStrengths_HighLevelUnderstanding,When someone has a good full/abstract understanding of how a system or group works (often in a leadership way).,"""I try to be the one running meetings whenever possible, which forces me to stay engaged. I find I’m pretty good at keeping things on track after years of learning to rein in my own wandering mind.""",
WorkStrengths_Hyperfocus,"When someone remarks on being able to work for something for a long period of time in an exceptional way, especially if they mention hyperfocus in particular.","""If the employer can't handle these low productivity days, they don't deserve the hyperfocus ""I did more than the rest of my team combined"" days.""",
WorkStrengths_Novelty,When someone uses the novelty of or interest in something as a motivator.,"""I actually find new challeging tasks to be more pleasant than repetitive ones.""",
WorkStrengths_Other,Any other strength someone perceive they have at work as compared to other people. This also includes working well with emergencies.,"""I've found that I perform well when there are immediate and tangible consequences from someone other than  myself.""",
WorkStrengths_Outcome,"When there is some tangible positive outcome at work (better communication between two software teams, a greater code output, higher code quality, etc.). ","""I know plenty of ADHDers that go above and beyond in the workplace, taking on way more than they can handle (me included), and outperforming their neurotypical counterparts.""",
WorkStrengths_SocialContract,"When the presence of other people is conducive to software work (not with direct help or communication, but in a teamwork or coworking way). This is linked to the body doubling strategy, in that body doubling is a specific way to construct this environment.","""I've found that I perform well when there are immediate and tangible consequences from someone other than  myself.""",
WorkStrengths_TimeOfDay,When someone works especially well at a specific time of day.,"""We love to work at night and on the weekend, because this is the only time we can work fully concentrated.""",
WorkInfo,"Includes anything to do with their current (real, not hypothetical) work. This includes simple information about the poster’s job, whether they’re employed, whether or not they work from home, years of experience, etc. Does not include long paragraphs about how the company works or what kind of pull requests they work on. Does not need to be used when it is alone in a comment (unless that comment is made by the OP). Job location is included here.",,"Job Types:
Software Engineer
Software Developer
Programmer
Developer
Web Developer
Front End Developer
Back End Developer
Full Stack Developer
Systems Engineer
Database Administrator
System Administrator
Cyber Security Specialist"
WorkInfo_Company_Industry,Content relating to the industry that a software development job is in.,"""I'm also in the software engineer world (embedded systems EE)""",
WorkInfo_Company_Size,"Content relating to how many people work at a company (e.g., ""FAANG,"" ""small start-up,"" etc.).","""I work for a small development firm.""",
WorkInfo_Employed,"The person currently has a job, but it is unclear whether or not they are a professional programmer by what they're saying.","""My own small online business""",
WorkInfo_Fired,The person was fired.,"""I was fired from my first programming gig in November after about 18 months because I was not productive enough and made too many mistakes.""",
WorkInfo_Internship,Content relating to an internship.,"""i might have an internship lined up and im scared of it""",
WorkInfo_Interviewing,The person was in the interviewing process.,"""trying to motivate myself to apply to other jobs and keep at it .. I only had 1 interview on Monday.""",
WorkInfo_JobOffer,"The person has received a job offer for a job that they will work at in the near future, though they're not at the job yet.","""When I interviewed at my job I'm  starting after I graduate in May...""",
WorkInfo_JobSearch,The person is currently searching for another job.,"""I have like management barely but just staying happy is a struggle and makes everything else harder. Especially as my savings are slowly drained as I'm trying to find a job lol.""",
WorkInfo_LaidOff,The person was laid off.,"""I got laid off work 2 months ago""",
WorkInfo_LeftOrResigned,The person is currently unemployed due to leaving/resigning from their most recent job.,"""Leaving Current Job After Four Years""",
WorkInfo_Location,"Where the person's job or clients are located, rather than where they live. This distinction can be necessary for remote jobs (see PersonalInfo_Location).","""...my company is in Eastern Time zone, our Primary client is west coast""",
WorkInfo_ProfessionalProgrammer,"The person is currently a professional programmer (i.e., their job heavily requires developing software).","""I'm a software engineer at a large bank for 3 years now""",
WorkInfo_Unemployed,"The person does not currently have a job and is not looking for a software-related job, and it is unclear what their most recent job was.","""2 months unemployed and depressed because of what you mentioned""",
WorkInfo_YOE,A mention of someone's years of professional experience in software development.,"""4.5 years of experience""",
Legality,When the law or company regulation is brought up as an influencing factor for something.,"""Practice your rights if you’re in the US & ask for workplace accomodations - how to adhd ok YouTube has a great video about the rules around this.""",
SoftwareSpecific,"Whenever something of Adhd perceptions, work impacts, work environment, or any quote is software-specific, but not necessarily referring to a certain software task (e.g., mention of a programming tool). Don't use if it is also tagged with SoftwareWorkActivity","""Any JetBrains IDE + Fullscreen + Distraction-Free mode = godsend""",
InterestingQuote,"Whenever you subjectively find something interesting or find that something brings you a new insight, tag this so we can look at it later and maybe put it into the paper! InterestingQuote should also be used when leaving a quote at the top level, but you think that it will be useful for analysis or in the paper some way. ",,
SPLIT,Replacement for QUOTATION SPLIT memo to keep track of when someone splits a quote up into two quotes that was previously one when annotating.,,
MERGE,Keeps track of when someone merges two quotes into one when annotating.,,
